selected_index,site_id,selected_original_index,selection_order,selection_type,ad_final_m,opt_criteria,design_factor,x,y,design_pc1,design_pc2
2401,2403,2402,1,core,71.66827125784376,1.2902676197481082,0.96,709442.771,4085894.989,0.72,0.0
2293,2295,2294,2,core,71.66827125784376,1.2902676197481082,0.96,709433.951,4086146.206,1.68,1.68
5062,5064,5063,3,core,71.66827125784376,1.2902676197481082,0.96,709111.072,4086222.298,-1.68,-1.68
434,435,434,4,core,71.66827125784376,1.2902676197481082,0.96,709651.059,4085945.103,1.68,-1.68
3731,3733,3732,5,core,71.66827125784376,1.2902676197481082,0.96,709292.003,4085935.995,-1.68,1.68
153,154,153,6,core,71.66827125784376,1.2902676197481082,0.96,709671.749,4086107.615,2.4,0.0
4615,4617,4616,7,core,71.66827125784376,1.2902676197481082,0.96,709167.081,4086003.565,-2.4,0.0
2225,2226,2225,8,core,71.66827125784376,1.2902676197481082,0.96,709428.369,4086304.387,0.0,2.4
3938,3940,3939,9,core,71.66827125784376,1.2902676197481082,0.96,709257.926,4086162.687,0.0,-2.4
682,683,682,10,core,71.66827125784376,1.2902676197481082,0.96,709613.92,4086248.379,-0.72,0.0
622,623,622,11,support,71.66827125784376,1.2902676197481082,0.96,709620.877,4086097.924,,
4274,4276,4275,12,support,71.66827125784376,1.2902676197481082,0.96,709212.558,4086055.35,,
